epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.67222,2.59557,11.9277,2.00137,0.00345,0.0087,0.00086,0.00021,3.01205,8.0708,2.23949,4.704e-05,4.704e-05,4.704e-05
2,10.4824,2.42834,7.30217,1.63936,0.41181,0.07627,0.05362,0.02259,2.15387,8.69302,1.58472,9.95642e-05,9.95642e-05,9.95642e-05
3,15.0576,1.93195,4.7079,1.47025,0.5791,0.24366,0.21084,0.11466,1.91402,7.03262,1.51744,0.000151669,0.000151669,0.000151669
4,19.302,1.72319,3.62314,1.3819,0.62004,0.37721,0.42285,0.21949,1.64934,4.23693,1.39201,0.000203355,0.000203355,0.000203355
5,23.4642,1.57344,3.21975,1.33865,0.69561,0.50477,0.51605,0.27307,1.55084,2.85386,1.32888,0.000254622,0.000254622,0.000254622
6,27.4166,1.56373,2.59795,1.26048,0.52773,0.59495,0.60556,0.32256,1.6622,2.34595,1.33649,0.00030547,0.00030547,0.00030547
7,31.303,1.46063,2.40046,1.20595,0.7283,0.53566,0.59622,0.34232,1.67627,2.04342,1.40154,0.000355898,0.000355898,0.000355898
8,35.0616,1.53357,1.97764,1.26983,0.74643,0.59532,0.64742,0.39938,1.53005,1.59022,1.27885,0.000405907,0.000405907,0.000405907
9,38.8534,1.45033,2.05268,1.22972,0.81538,0.59541,0.6844,0.43783,1.50207,1.31341,1.25218,0.000455498,0.000455498,0.000455498
10,42.7318,1.36202,1.70142,1.14393,0.86718,0.55872,0.73372,0.44942,1.49499,1.3552,1.28152,0.000504669,0.000504669,0.000504669
11,46.514,1.42701,1.57357,1.18731,0.84896,0.65158,0.79172,0.50512,1.45214,1.25219,1.23692,0.000553421,0.000553421,0.000553421
12,50.1991,1.45427,1.61877,1.19466,0.72569,0.70203,0.81192,0.4538,1.50073,1.22661,1.25345,0.000562387,0.000562387,0.000562387
13,53.8748,1.43478,1.40697,1.15943,0.75532,0.71486,0.80135,0.48998,1.42102,1.16756,1.17739,0.000560058,0.000560058,0.000560058
14,57.6747,1.32261,1.34716,1.19951,0.61804,0.84971,0.81841,0.48264,1.40685,1.1281,1.18009,0.00055773,0.00055773,0.00055773
15,61.3697,1.42869,1.31465,1.19309,0.8177,0.79602,0.84461,0.49651,1.36154,0.9999,1.16898,0.000555401,0.000555401,0.000555401
16,65.273,1.38079,1.31994,1.18153,0.79928,0.77083,0.83109,0.46104,1.42782,1.01992,1.19488,0.000553073,0.000553073,0.000553073
17,68.9405,1.42338,1.24638,1.29345,0.85701,0.72962,0.84068,0.50191,1.41445,1.09988,1.17779,0.000550744,0.000550744,0.000550744
18,72.7327,1.26166,1.1141,1.08356,0.6567,0.90939,0.93486,0.56635,1.38524,1.08025,1.14457,0.000548416,0.000548416,0.000548416
19,76.6243,1.37644,1.29592,1.18694,0.76425,0.86526,0.9482,0.60043,1.44856,1.10203,1.17798,0.000546087,0.000546087,0.000546087
20,80.5944,1.2899,1.10068,1.12792,0.74064,0.85221,0.93912,0.52972,1.4091,1.02163,1.17953,0.000543759,0.000543759,0.000543759
